SINGH;m
SIRAH;f
SMITH;f
SOLDIER;m
SPINELLI;m
SPOCK;m
STAGEHAND;m
STARBASE;m
STARNES;m
STELLA;f
STEVE;m
STILES;m
STOCKER;m
STONE;m
STONN;m
SULU;m
SURAK;m
SURVIVOR;m
SYBO;f
SYLVIA;f
TAL;m
TALOSIAN;f
TAMAR;m
TAMOON;f
TAMULA;f
TANKRIS;f
TANNOY;m
TARK;m
TEC;m
TECH;f
TEENAGER;m
TELLER;m
TEPO;m
THANN;m
THARN;m
THASIAN;m
THELEV;m
THERAPIST;m
THOMPSON;f
PROVIDER ONE;n
PROVIDER THREE;n
TIMOTHY;m
TINA;f
TOMAR;m
TONIA;f
TORMOLEN;m
T'PAU;f
T'PRING;f
TRACEY;m
TRADER;m
TRANSPORTER OPERATOR;m
TRAVERS;m
TREFAYNE;m
TRELANE;m
TROGLYTE;m
TULA;f
PROVIDER TWO;n
TYLER;m
TYREE;m
UHURA;f
VANDERBERG;m
VANNA;f
VINA;f
WALLACE;f
WASHBURN;m
WATKINS;m
WATSON;m
WEBB;m
WENCH;f
WESLEY;m
WILSON;m
WITCH;f
WOMAN;f
WOMEN;f
WYATT;m
YELLOW;m
YUTAN;m
ZABO;m
ZAHRA;f
ZARABETH;f
ZETAR;f
OLD MAN;m
PILOT;m
