SIR GUY;m
SIROL;m
SITO;f
SKORAN;m
SOBI;m
SOLIS;m
SOLOK;m
SONNY;m
SONYA;f
SOONG;m
SOREN;n
SOVAK;m
SPOCK;m
STUBBS;m
SUNAD;m
SUSANNA;m
SUTTER;m
SYRUS;m
TACTICS;m
TAIBAK;m
TAITT;f
TALLERA;f
TALUR;f
TAM;m
TAMARIAN;m
TARIS;f
TARMIN;m
TARR;m
TARSES;m
TASHA;f
TAURIK;m
TAVA;f
TAYNA;f
TEXAS;m
THOLL;m
TIMICIN;m
TIMOTHY;m
T'JON;m
TOG;m
TOKATH;m
TOMALAK;m
TOQ;m
TORAK;m
TORETH;f
T'PEL;f
TRAVELLER;m
TROI;f
T'SU;f
VAGH;m
VANESSA;f
VARRIA;f
VASH;f
VICTORIA;f
VOICE;n
VORIN;m
VOVAL;m
WESLEY;m
WHALEN;m
WOMAN;f
WORF;m
WRENN;m
WYATT;m
YAREENA;f
YRANAC;m
YUTA;f
ZERO ONE;n
ZORN;m
